segment_id,segment_name,n_users,avg_activeness,avg_churn_risk,avg_gamification,avg_learning,avg_achievement,avg_social,decision_rules
0,Segment_0,206,0.1433,0.848,0.2267,0.0822,0.2561,0.316,(lifecycle_stage <= 1.5000 AND  days_since_signup_norm <= 0.5694 AND  propensity_achievement >  0.1767 AND  days_since_signup_norm >  0.3833) OR (lifecycle_stage <= 1.5000 AND  days_since_signup_norm >  0.5694 AND  days_since_signup_norm <= 0.6028 AND  propensity_achievement >  0.1067) OR (lifecycle_stage <= 1.5000 AND  days_since_signup_norm >  0.5694 AND  days_since_signup_norm >  0.6028)
1,Segment_1,109,0.5384,0.5246,0.5414,0.715,0.6683,0.9125,(lifecycle_stage >  1.5000 AND  propensity_learning >  0.5200 AND  propensity_gamification <= 0.6620 AND  feature_leaderboard_viewed >  0.5000) OR (lifecycle_stage >  1.5000 AND  propensity_learning >  0.5200 AND  propensity_gamification >  0.6620 AND  churn_risk >  0.4543)
2,Segment_2,292,0.8451,0.2761,0.8326,0.8238,0.8318,0.8517,(lifecycle_stage >  1.5000 AND  propensity_learning >  0.5200 AND  propensity_gamification >  0.6620 AND  churn_risk <= 0.4543)
3,Segment_3,166,0.4999,0.5839,0.4451,0.106,0.618,0.9024,(lifecycle_stage >  1.5000 AND  propensity_learning <= 0.5200 AND  propensity_social >  0.5600 AND  lifecycle_stage >  2.5000)
4,Segment_4,285,0.1313,0.8747,0.241,0.031,0.1109,0.2434,(lifecycle_stage <= 1.5000 AND  days_since_signup_norm <= 0.5694 AND  propensity_achievement <= 0.1767 AND  days_since_signup_norm <= 0.4750) OR (lifecycle_stage <= 1.5000 AND  days_since_signup_norm <= 0.5694 AND  propensity_achievement <= 0.1767 AND  days_since_signup_norm >  0.4750) OR (lifecycle_stage <= 1.5000 AND  days_since_signup_norm <= 0.5694 AND  propensity_achievement >  0.1767 AND  days_since_signup_norm <= 0.3833) OR (lifecycle_stage <= 1.5000 AND  days_since_signup_norm >  0.5694 AND  days_since_signup_norm <= 0.6028 AND  propensity_achievement <= 0.1067)
5,Segment_5,208,0.5322,0.5888,0.4863,0.1136,0.5814,0.2074,(lifecycle_stage >  1.5000 AND  propensity_learning <= 0.5200 AND  propensity_social <= 0.5600 AND  propensity_gamification <= 0.7307)
6,Segment_6,101,0.5426,0.5504,0.5281,0.7121,0.6553,0.2055,(lifecycle_stage >  1.5000 AND  propensity_learning >  0.5200 AND  propensity_gamification <= 0.6620 AND  feature_leaderboard_viewed <= 0.5000)
7,Segment_7,133,0.8124,0.3151,0.8246,0.211,0.7853,0.7788,(lifecycle_stage >  1.5000 AND  propensity_learning <= 0.5200 AND  propensity_social <= 0.5600 AND  propensity_gamification >  0.7307) OR (lifecycle_stage >  1.5000 AND  propensity_learning <= 0.5200 AND  propensity_social >  0.5600 AND  lifecycle_stage <= 2.5000)
