"segment_id","base_frequency","guardrail_applied","primary_window","secondary_window","tertiary_window","allocation_distribution","expected_ctr","expected_engagement"
"0","3","False","evening","night","late_afternoon","3:0:0","0.1308","0.0739"
"1","5","False","evening","night","late_afternoon","4:1:0","0.1508","0.1378"
"2","8","False","evening","late_afternoon","night","6:1:1","0.1093","0.1479"
"3","5","False","evening","afternoon","late_afternoon","4:1:0","0.1135","0.1234"
"4","3","False","evening","late_afternoon","early_morning","3:0:0","0.1338","0.0790"
"5","5","False","evening","late_afternoon","afternoon","4:1:0","0.1426","0.1197"
"6","5","False","evening","late_afternoon","early_morning","4:1:0","0.1644","0.1427"
"7","8","False","evening","late_afternoon","night","6:1:1","0.1048","0.1506"
