"segment_id","base_frequency","guardrail_applied","primary_window","secondary_window","tertiary_window","allocation_distribution","expected_ctr","expected_engagement"
"0","3","False","evening","late_afternoon","night","1:1:1","0.0371","0.1012"
"1","5","False","evening","night","late_afternoon","2:2:1","0.0991","0.2874"
"2","8","False","evening","late_afternoon","night","3:3:2","0.1315","0.3845"
"3","5","False","evening","late_afternoon","afternoon","2:1:2","0.0933","0.2699"
"4","3","False","evening","late_afternoon","early_morning","1:1:1","0.0328","0.0884"
"5","5","False","evening","late_afternoon","afternoon","2:2:1","0.0859","0.2476"
"6","5","False","evening","late_afternoon","early_morning","2:2:1","0.0923","0.2669"
"7","8","False","evening","late_afternoon","night","3:3:2","0.1265","0.3695"
