"segment_id","primary_theme","secondary_theme","tertiary_theme","tone_preferences","hooks","cd1_score","cd2_score","cd3_score","cd4_score","cd5_score","cd6_score","cd7_score","cd8_score"
"0","Unpredictability","none","none","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","","0.2165","0.2042","0.1057","0.4535","0.2459","0.0","0.9083","0.424"
"1","Social_Influence","Creativity_and_Feedback","Scarcity_and_Impatience","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","leaderboards|sia_chat|daily_lessons|ai_tutor_sia|role_based_practice|progress_reports|pronunciation_coach|grammar_guardian|vocabulary_builder","0.6857","0.5463","0.886","0.6657","0.9475","0.7706","0.486","0.4709"
"2","Creativity_and_Feedback","Ownership_and_Possession","Social_Influence","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","daily_lessons|ai_tutor_sia|role_based_practice|progress_reports|sia_chat|pronunciation_coach|grammar_guardian|vocabulary_builder|coins|badges_achievements","0.7516","0.7862","0.9295","0.8944","0.8809","0.0","0.3191","0.5234"
"3","Scarcity_and_Impatience","Social_Influence","none","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","leaderboards|sia_chat","0.6606","0.493","0.0424","0.6","0.9414","0.994","0.5156","0.4371"
"4","Unpredictability","none","none","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","","0.1545","0.0608","0.0398","0.482","0.1727","0.0","0.9344","0.4373"
"5","Scarcity_and_Impatience","none","none","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","","0.61","0.4793","0.0454","0.6102","0.1244","0.9904","0.539","0.4757"
"6","Creativity_and_Feedback","Scarcity_and_Impatience","Ownership_and_Possession","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","daily_lessons|ai_tutor_sia|role_based_practice|progress_reports|sia_chat|pronunciation_coach|grammar_guardian|vocabulary_builder","0.6367","0.5511","0.8848","0.6376","0.1233","0.8515","0.4986","0.4845"
"7","Ownership_and_Possession","Social_Influence","Accomplishment","Encouraging|Supportive|Celebratory|Motivational|Friendly|Professional|Empathetic","coins|badges_achievements|leaderboards|sia_chat","0.6923","0.7498","0.0844","0.8867","0.7981","0.0075","0.3792","0.5388"
